EpThisIter,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,AI_return,EpRewMean,loss_ent,AI_distance,loss_kl,EpisodesSoFar,EpLenMean,AI_success_rate,ev_tdlam_before,loss_vf_loss,TimeElapsed
2,-0.016716987,163324,0.0,-5188.018104006003,-4175.750604494749,5.689051,16.31365671018998,0.0060143247,371,474.13,0.0,0.3525579571723938,60530.492,373.65926456451416
2,-0.020569736,164987,0.0,-5222.2518718962065,-4367.2173083542175,5.6808014,16.322754040197175,0.009473712,373,486.23,0.0,0.08588933944702148,143515.66,378.3270628452301
3,-0.016762905,167592,0.0,-5284.338657658996,-4702.96990829234,5.6788025,16.3678541083543,0.004917625,376,507.2,0.0,0.38443636894226074,32479.395,382.9580862522125
3,-0.01397459,169163,0.0,-5282.1995093493915,-4623.9569806305635,5.711695,16.35454097393666,0.0051774895,379,511.98,0.0,0.020858943462371826,62779.57,387.5870773792267
5,-0.012381071,171834,0.0,-5235.925834840666,-4592.658021781826,5.69696,16.29196302111369,0.0042271465,384,523.95,0.0,0.5752027332782745,36718.3,392.28236508369446
2,-0.016272787,173548,0.0,-5270.666186524567,-4807.375970599399,5.6956773,16.3020460072675,0.0064682537,386,537.91,0.0,0.5591847598552704,59333.02,396.8747000694275
5,-0.01639791,176058,0.0,-5241.326114205167,-4786.194122288922,5.700441,16.29575066642579,0.0056946496,391,543.91,0.0,0.6873317062854767,30619.193,401.5001211166382
2,-0.016372943,177777,0.0,-5249.768575112873,-4833.295169302391,5.714354,16.291833713584154,0.0070474464,393,556.41,0.0,0.4227738380432129,120605.375,406.04748272895813
6,-0.01715823,180131,0.0,-5240.3219207707225,-4958.693680695337,5.7343297,16.293618066323642,0.005180226,399,550.53,0.0,0.43084341287612915,59316.066,410.6940448284149
2,-0.014192108,182141,0.0,-5285.7882542693515,-5182.92193457591,5.7343855,16.318835302253863,0.0060934536,401,563.73,0.0,0.2180389165878296,135176.47,415.3507432937622
2,-0.018083863,184046,0.0,-5298.784671451244,-5126.238669588214,5.729625,16.333033717988855,0.00623391,403,568.32,0.0,0.4032973051071167,125228.7,420.00157737731934
4,-0.015173991,186084,0.0,-5287.469205460985,-5189.912815183718,5.7377067,16.33369382829988,0.0058965716,407,576.12,0.0,-0.1148834228515625,62221.152,424.6110031604767
2,-0.016010437,187549,0.0,-5336.294679266984,-5445.315033223239,5.756804,16.36444033415795,0.00643526,409,581.68,0.0,0.20588350296020508,116424.81,429.29453349113464
7,-0.014782798,190341,0.0,-5354.827169754721,-5654.769205521615,5.7533526,16.38051896763902,0.0055899047,416,581.8,0.0,0.3107173442840576,80125.63,433.99630308151245
3,-0.014948398,192160,0.0,-5393.733465730039,-5851.935341085893,5.7456403,16.391721281748794,0.0059627285,419,572.19,0.0,0.466463565826416,111904.93,438.6324427127838
3,-0.013744904,194493,0.0,-5372.180547145085,-5846.059082518111,5.7358456,16.35358624916718,0.006289746,422,584.8,0.0,0.4288060665130615,51657.523,443.336608171463
2,-0.0134355,195792,0.0,-5369.491749055556,-5899.825528641274,5.7577205,16.346295466053938,0.0059652473,424,588.76,0.0,0.748292088508606,31760.47,448.0382430553436
4,-0.01820554,198508,0.0,-5295.052495712803,-5768.930731527666,5.7403007,16.259835950724177,0.005193536,428,597.86,0.002336448598130841,0.7877360135316849,25695.982,452.7938826084137
3,-0.0137799075,200284,0.0,-5235.768309034943,-5730.848965380144,5.7178345,16.20153133348743,0.0051838355,431,599.45,0.004640371229698376,0.6314298808574677,71510.62,457.5827615261078
6,-0.019670378,202606,0.0,-5226.958248631845,-5748.057817419663,5.729341,16.213210296764863,0.005951401,437,604.56,0.004576659038901602,0.35172510147094727,71217.76,462.19301652908325
6,-0.01440879,203982,0.0,-5215.458776522914,-5674.996890291929,5.7439723,16.231184044782704,0.0056096357,443,584.29,0.004514672686230248,0.5522526502609253,71647.36,466.7705018520355
2,-0.015041529,206511,0.0,-5246.03775912975,-5791.1121681893865,5.739223,16.24735906798619,0.006263663,445,601.76,0.0044943820224719105,0.6079832017421722,40202.23,471.33621072769165
5,-0.015926287,208750,0.0,-5220.765775901768,-5651.988582618502,5.726588,16.235525791017754,0.0059706066,450,594.03,0.0044444444444444444,0.5884643793106079,32141.594,475.91544103622437
4,-0.014917835,210747,0.0,-5240.106785320794,-5379.731120422674,5.703261,16.252160084946745,0.005391457,454,579.16,0.004405286343612335,0.4714215397834778,114670.71,480.56820034980774
2,-0.016979614,211971,0.0,-5252.3365338707,-5487.651522598766,5.718456,16.251208839161862,0.006197255,456,588.72,0.0043859649122807015,0.3686314821243286,76634.28,485.23668384552
3,-0.013645865,214664,0.0,-5278.685656674442,-5603.0842200045245,5.7085576,16.29208462692327,0.004659832,459,591.25,0.004357298474945534,0.6171678900718689,87638.46,489.95015931129456
4,-0.01800172,216962,0.0,-5258.5920105191335,-5529.284556493056,5.6729584,16.254589755998282,0.0059197824,463,580.56,0.004319654427645789,0.6210533976554871,36237.785,494.63967394828796
1,-0.014674602,218807,0.0,-5285.597600618112,-5680.320354179239,5.6549683,16.27427048186163,0.004752803,464,593.94,0.004310344827586207,0.792733296751976,86026.33,499.30436086654663
6,-0.017672244,220874,0.0,-5266.068129556412,-5481.058900795794,5.658217,16.283118051706822,0.0054699457,470,579.27,0.00425531914893617,-0.033664822578430176,38431.156,504.0063169002533
4,-0.012839244,222853,0.0,-5299.50713463566,-5413.669925642752,5.649862,16.296000780335778,0.004686944,474,569.07,0.004219409282700422,0.03874713182449341,80663.42,508.6846113204956
2,-0.014626241,225067,0.0,-5287.037308591756,-5297.184236098934,5.6618752,16.267925440086643,0.0059665837,476,574.75,0.004201680672268907,0.5159265398979187,134974.53,513.4259717464447
8,-0.01830081,226928,0.0,-5251.7360735356015,-5312.447390124152,5.642884,16.293022285053695,0.0041724322,484,550.94,0.004132231404958678,0.20942926406860352,76924.805,518.056812286377
3,-0.013898442,228941,0.0,-5254.288259038625,-5220.642265317071,5.6152635,16.294140611982122,0.004440744,487,543.8,0.004106776180698152,0.5095047354698181,98957.25,522.8996016979218
9,-0.017257359,231364,0.0,-5254.051243761946,-5219.507297114924,5.6298985,16.279620851678956,0.0047551095,496,516.83,0.004032258064516129,0.24689120054244995,100348.64,527.5587480068207
2,-0.015440522,232748,0.0,-5254.157060519622,-5302.319920005817,5.6478896,16.286396444837855,0.005762683,498,528.64,0.004016064257028112,0.5429164171218872,71619.55,532.2129552364349
6,-0.015817722,234890,0.0,-5208.086802439578,-4851.793423887267,5.620708,16.23947112393312,0.0044863303,504,498.11,0.003968253968253968,0.6833936870098114,29943.676,536.9388883113861
6,-0.017809724,237235,0.0,-5138.237779527225,-4170.585219574371,5.6262975,16.169880287852227,0.0049165115,510,486.95,0.00392156862745098,0.47902101278305054,60658.12,541.5743064880371
4,-0.017498067,239069,0.0,-5140.073262765902,-4213.9834109512,5.5833907,16.15514644027329,0.0053224117,514,491.05,0.0038910505836575876,0.6963639557361603,30479.33,546.2419667243958
5,-0.0119308075,241311,0.0,-5124.626283389658,-3997.0671893834533,5.5814977,16.15728287364079,0.0053658867,519,491.51,0.0038535645472061657,0.35894250869750977,20908.242,550.9230310916901
3,-0.013917061,243375,0.0,-5127.585478974478,-4095.394291294514,5.5833077,16.14213065517818,0.0045909085,522,488.82,0.0038314176245210726,0.62350794672966,53975.72,555.5867719650269
1,-0.014645539,245397,0.0,-5106.030533612494,-4060.709449688044,5.5913343,16.113153080253184,0.0059346687,523,504.73,0.0057361376673040155,0.32325977087020874,40102.605,560.3407998085022
