EpisodesSoFar,AI_success_rate,EpRewMean,AI_distance,loss_vf_loss,TimestepsSoFar,loss_ent,EpLenMean,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,AI_return,loss_pol_surr,EpThisIter
690,0.0014492753623188406,-2209.3303727516163,14.64129760657645,245016.11,288100,5.3762984,393.05,648.1199085712433,0.0037859094,0.0,0.5096786618232727,-3273.712282070058,-0.012630772,2
694,0.001440922190201729,-2438.005778293458,14.645257043831869,23552.611,290444,5.3617997,396.83,652.746120929718,0.0049873474,0.0,0.7297590672969818,-3295.94964890738,-0.017047316,4
699,0.001430615164520744,-2625.5591412374138,14.638256376775384,81808.09,292565,5.3319135,398.79,657.437281370163,0.0041375547,0.0,0.6775775253772736,-3299.796258580477,-0.01671803,5
703,0.001422475106685633,-2833.067115816579,14.656465927751736,131157.92,294878,5.3371177,406.4,662.1332156658173,0.0038288466,0.0,0.5403784215450287,-3321.27063599763,-0.013046425,4
708,0.0014124293785310734,-2982.6997134480453,14.641797981303448,111996.984,296849,5.344197,412.81,666.8585760593414,0.0041672755,0.0,0.7284833192825317,-3316.7372501249624,-0.014570691,5
715,0.0013986013986013986,-2913.3431437751533,14.62977529301486,78439.54,298845,5.341368,405.41,671.6229667663574,0.0061041955,0.0,0.7254450917243958,-3285.941060221939,-0.016825015,7
717,0.001394700139470014,-3151.5799128365243,14.641212874609566,178003.97,300240,5.3276615,411.48,676.1682350635529,0.0044293515,0.0,0.6535923182964325,-3303.918321115841,-0.016742337,2
722,0.0013850415512465374,-3335.9737580264173,14.649662486332156,88378.055,303060,5.3222346,417.41,680.7436068058014,0.0046320544,0.0,0.7396929264068604,-3324.197561547746,-0.016260665,5
727,0.001375515818431912,-3400.342650967209,14.658000820656671,59985.016,304297,5.300874,414.88,685.2937610149384,0.004777579,0.0,0.7779844105243683,-3308.1523108249594,-0.015639514,5
732,0.001366120218579235,-3132.2728539155546,14.626865985549571,35829.062,307097,5.294785,427.51,689.844756603241,0.004146789,0.0,0.7781903147697449,-3278.883636235834,-0.015228008,5
